,Genre,URL
218,Action / Adventure,https://www.boxofficemojo.com/movies/?id=tmnt2016.htm
219,Family Adventure,https://www.boxofficemojo.com/movies/?id=alice2.htm
220,Thriller,https://www.boxofficemojo.com/movies/?id=thegirlonthetrain2016.htm
221,Animation,https://www.boxofficemojo.com/movies/?id=storks.htm
222,Horror,https://www.boxofficemojo.com/movies/?id=newline0116.htm
223,Action / Adventure,https://www.boxofficemojo.com/movies/?id=allegiant.htm
224,Animation,https://www.boxofficemojo.com/movies/?id=iceage5.htm
225,Action,https://www.boxofficemojo.com/movies/?id=londonhasfallen.htm
226,Action Drama,https://www.boxofficemojo.com/movies/?id=deepwaterhorizon.htm
227,Comedy,https://www.boxofficemojo.com/movies/?id=mybigfatgreekwedding2.htm
228,Drama,https://www.boxofficemojo.com/movies/?id=fences.htm
229,Adventure,https://www.boxofficemojo.com/movies/?id=bfg.htm
230,Horror,https://www.boxofficemojo.com/movies/?id=theshallows.htm
231,Action,https://www.boxofficemojo.com/movies/?id=assassinscreed.htm
232,Drama,https://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm
233,Action / Adventure,https://www.boxofficemojo.com/movies/?id=huntsman.htm
234,Drama,https://www.boxofficemojo.com/movies/?id=manchesterbythesea.htm
235,Romantic Comedy,https://www.boxofficemojo.com/movies/?id=howtobesingle.htm
236,Comedy / Drama,https://www.boxofficemojo.com/movies/?id=armsandthedudes.htm
237,Drama / Thriller,https://www.boxofficemojo.com/movies/?id=moneymonster.htm
238,Thriller,https://www.boxofficemojo.com/movies/?id=nerve.htm
239,Comedy Thriller,https://www.boxofficemojo.com/movies/?id=niceguys.htm
240,Comedy,https://www.boxofficemojo.com/movies/?id=dirtygrandpa.htm
241,Sci-Fi Action,https://www.boxofficemojo.com/movies/?id=5thwave.htm
242,Comedy,https://www.boxofficemojo.com/movies/?id=mothersday.htm
243,Action / Adventure,https://www.boxofficemojo.com/movies/?id=godsofegypt.htm
244,Comedy,https://www.boxofficemojo.com/movies/?id=hailcaesar.htm
245,Comedy,https://www.boxofficemojo.com/movies/?id=zoolander2.htm
246,Thriller,https://www.boxofficemojo.com/movies/?id=finesthours.htm
247,Action Drama,https://www.boxofficemojo.com/movies/?id=hellorhighwater.htm
248,Historical Epic,https://www.boxofficemojo.com/movies/?id=benhur2016.htm
249,Romantic Comedy,https://www.boxofficemojo.com/movies/?id=bridgetjonessbaby.htm
250,Animation,https://www.boxofficemojo.com/movies/?id=pixar2015.htm
251,Animation,https://www.boxofficemojo.com/movies/?id=illumination2015.htm
252,Action,https://www.boxofficemojo.com/movies/?id=deadpool2016.htm
253,Action / Adventure,https://www.boxofficemojo.com/movies/?id=superman2015.htm
254,Animation,https://www.boxofficemojo.com/movies/?id=illumination2016.htm
255,Fantasy,https://www.boxofficemojo.com/movies/?id=fantasticbeasts.htm
256,Drama,https://www.boxofficemojo.com/movies/?id=hiddenfigures.htm
257,Sci-Fi Adventure,https://www.boxofficemojo.com/movies/?id=startrek2016.htm
258,Animation,https://www.boxofficemojo.com/movies/?id=trolls.htm
259,Animation,https://www.boxofficemojo.com/movies/?id=kungfupanda3.htm
260,Comedy,https://www.boxofficemojo.com/movies/?id=centralintelligence.htm
261,Drama,https://www.boxofficemojo.com/movies/?id=sully.htm
262,Animation,https://www.boxofficemojo.com/movies/?id=angrybirds.htm
263,Horror,https://www.boxofficemojo.com/movies/?id=conjuring2.htm
264,Sci-Fi,https://www.boxofficemojo.com/movies/?id=passengers2016.htm
265,Western,https://www.boxofficemojo.com/movies/?id=themagnificentseven.htm
266,Horror Thriller,https://www.boxofficemojo.com/movies/?id=dontbreathe.htm
267,Drama,https://www.boxofficemojo.com/movies/?id=theaccountant.htm
268,Thriller,https://www.boxofficemojo.com/movies/?id=purge3.htm
269,Family,https://www.boxofficemojo.com/movies/?id=petesdragon2016.htm
270,Horror Comedy,https://www.boxofficemojo.com/movies/?id=booamadeahalloween.htm
271,Thriller,https://www.boxofficemojo.com/movies/?id=badrobot2016.htm
272,Action Drama,https://www.boxofficemojo.com/movies/?id=hacksawridge.htm
273,Thriller,https://www.boxofficemojo.com/movies/?id=nowyouseeme2.htm
274,Comedy,https://www.boxofficemojo.com/movies/?id=michelledarnell.htm
275,Drama,https://www.boxofficemojo.com/movies/?id=miraclesfromheaven.htm
276,Comedy,https://www.boxofficemojo.com/movies/?id=whyhim.htm
277,Crime Drama,https://www.boxofficemojo.com/movies/?id=jackreacher2.htm
278,Romance,https://www.boxofficemojo.com/movies/?id=mebeforeyou.htm
279,Comedy,https://www.boxofficemojo.com/movies/?id=universalcomedy2016.htm
280,Comedy,https://www.boxofficemojo.com/movies/?id=officechristmasparty.htm
281,Comedy,https://www.boxofficemojo.com/movies/?id=barbershop3.htm
282,Drama,https://www.boxofficemojo.com/movies/?id=lion.htm
283,Animation,https://www.boxofficemojo.com/movies/?id=kuboandthetwostrings.htm
284,Fantasy,https://www.boxofficemojo.com/movies/?id=warcraft.htm
285,Comedy,https://www.boxofficemojo.com/movies/?id=mikeanddave.htm
286,Comedy,https://www.boxofficemojo.com/movies/?id=ameyerschristmas.htm
287,Romantic Thriller,https://www.boxofficemojo.com/movies/?id=pittcotillard.htm
288,Action / Adventure,https://www.boxofficemojo.com/movies/?id=risen.htm
289,Horror,https://www.boxofficemojo.com/movies/?id=boy2016.htm
290,Horror,https://www.boxofficemojo.com/movies/?id=blumhouse3.htm
291,Thriller,https://www.boxofficemojo.com/movies/?id=inferno2015.htm
292,Drama,https://www.boxofficemojo.com/movies/?id=patriotsday.htm
293,Drama,https://www.boxofficemojo.com/movies/?id=collateralbeauty.htm
294,Drama,https://www.boxofficemojo.com/movies/?id=whentheboughbreaks.htm
295,Drama,https://www.boxofficemojo.com/movies/?id=moonlight2016.htm
296,Drama,https://www.boxofficemojo.com/movies/?id=florencefosterjenkins.htm
297,Horror,https://www.boxofficemojo.com/movies/?id=forest.htm
298,Horror,https://www.boxofficemojo.com/movies/?id=thewitch.htm
299,Concert,https://www.boxofficemojo.com/movies/?id=kevinhart2016.htm
300,Sci-Fi Fantasy,https://www.boxofficemojo.com/movies/?id=starwars7.htm
301,Action / Adventure,https://www.boxofficemojo.com/movies/?id=avengers2.htm
302,Action,https://www.boxofficemojo.com/movies/?id=fast7.htm
303,Action / Adventure,https://www.boxofficemojo.com/movies/?id=hungergames4.htm
304,Fantasy,https://www.boxofficemojo.com/movies/?id=cinderella2015.htm
305,Action,https://www.boxofficemojo.com/movies/?id=mi5.htm
306,Action / Adventure,https://www.boxofficemojo.com/movies/?id=revenant.htm
307,Animation,https://www.boxofficemojo.com/movies/?id=happysmekday.htm
308,Romance,https://www.boxofficemojo.com/movies/?id=fiftyshadesofgrey.htm
309,Drama,https://www.boxofficemojo.com/movies/?id=straightouttacompton.htm
310,Sci-Fi Action,https://www.boxofficemojo.com/movies/?id=furyroad.htm
311,Action / Adventure,https://www.boxofficemojo.com/movies/?id=insurgent.htm
312,Action / Adventure,https://www.boxofficemojo.com/movies/?id=secretservice.htm
313,Comedy,https://www.boxofficemojo.com/movies/?id=susancooper.htm
314,Drama,https://www.boxofficemojo.com/movies/?id=creed.htm
315,Comedy,https://www.boxofficemojo.com/movies/?id=gethard.htm
316,Action,https://www.boxofficemojo.com/movies/?id=taken3.htm
317,Family Comedy,https://www.boxofficemojo.com/movies/?id=alvin4.htm
318,Comedy,https://www.boxofficemojo.com/movies/?id=ted2.htm
319,Action Comedy,https://www.boxofficemojo.com/movies/?id=pixels.htm
320,Comedy,https://www.boxofficemojo.com/movies/?id=intern.htm
321,Comedy,https://www.boxofficemojo.com/movies/?id=paulblart2.htm
322,Drama,https://www.boxofficemojo.com/movies/?id=warroom2015.htm
323,Horror,https://www.boxofficemojo.com/movies/?id=blumhouse2015.htm
324,Crime Drama,https://www.boxofficemojo.com/movies/?id=whiteybulger15.htm
325,Thriller,https://www.boxofficemojo.com/movies/?id=perfectguy.htm
326,Action / Adventure,https://www.boxofficemojo.com/movies/?id=fantasticfour15.htm
327,Comedy,https://www.boxofficemojo.com/movies/?id=focus2015.htm
328,Horror,https://www.boxofficemojo.com/movies/?id=insidiouschapter3.htm
329,Sci-Fi,https://www.boxofficemojo.com/movies/?id=jupiterascending.htm
330,Action,https://www.boxofficemojo.com/movies/?id=uncle.htm
331,Sports Drama,https://www.boxofficemojo.com/movies/?id=mcfarland.htm
332,Thriller,https://www.boxofficemojo.com/movies/?id=everest2015.htm
333,Horror Comedy,https://www.boxofficemojo.com/movies/?id=krampus.htm
334,Drama,https://www.boxofficemojo.com/movies/?id=ageofadaline.htm
335,Romance,https://www.boxofficemojo.com/movies/?id=thelongestride.htm
336,Fantasy,https://www.boxofficemojo.com/movies/?id=pan.htm
337,Drama,https://www.boxofficemojo.com/movies/?id=concussion2015.htm
338,Drama,https://www.boxofficemojo.com/movies/?id=womaningold.htm
339,Horror,https://www.boxofficemojo.com/movies/?id=cybernatural.htm
340,Drama,https://www.boxofficemojo.com/movies/?id=papertowns.htm
341,Horror,https://www.boxofficemojo.com/movies/?id=crimsonpeak.htm
342,Action,https://www.boxofficemojo.com/movies/?id=pointbreak2015.htm
343,Action Fantasy,https://www.boxofficemojo.com/movies/?id=lastwitchhunter.htm
344,Comedy / Drama,https://www.boxofficemojo.com/movies/?id=rickiandtheflash.htm
345,Action,https://www.boxofficemojo.com/movies/?id=runallnight.htm
346,Horror,https://www.boxofficemojo.com/movies/?id=lazarus.htm
347,Drama,https://www.boxofficemojo.com/movies/?id=heartofthesea.htm
348,Action / Adventure,https://www.boxofficemojo.com/movies/?id=hitman47.htm
349,Drama,https://www.boxofficemojo.com/movies/?id=blackorwhite.htm
350,Action / Adventure,https://www.boxofficemojo.com/movies/?id=jurassicpark4.htm
351,Animation,https://www.boxofficemojo.com/movies/?id=pixar2014.htm
352,Animation,https://www.boxofficemojo.com/movies/?id=minions.htm
353,Sci-Fi,https://www.boxofficemojo.com/movies/?id=scott2016.htm
354,Action,https://www.boxofficemojo.com/movies/?id=bond24.htm
355,Comedy,https://www.boxofficemojo.com/movies/?id=pitchperfect2.htm
356,Action / Adventure,https://www.boxofficemojo.com/movies/?id=antman.htm
357,Animation,https://www.boxofficemojo.com/movies/?id=hoteltransylvania2.htm
358,Animation,https://www.boxofficemojo.com/movies/?id=spongebob2.htm
359,Action,https://www.boxofficemojo.com/movies/?id=sanandreas.htm
360,Comedy,https://www.boxofficemojo.com/movies/?id=daddyshome.htm
361,Animation,https://www.boxofficemojo.com/movies/?id=peanuts2015.htm
362,Animation,https://www.boxofficemojo.com/movies/?id=pixar2013.htm
363,Comedy,https://www.boxofficemojo.com/movies/?id=trainwreck15.htm
364,Sci-Fi,https://www.boxofficemojo.com/movies/?id=1952.htm
365,Action,https://www.boxofficemojo.com/movies/?id=terminator2015.htm
366,Comedy,https://www.boxofficemojo.com/movies/?id=nest.htm
367,Action / Adventure,https://www.boxofficemojo.com/movies/?id=mazerunner2.htm
368,Horror Comedy,https://www.boxofficemojo.com/movies/?id=goosebumps.htm
369,Family,https://www.boxofficemojo.com/movies/?id=paddington.htm
370,Thriller,https://www.boxofficemojo.com/movies/?id=coldwar2015.htm
371,Drama,https://www.boxofficemojo.com/movies/?id=bigshort.htm
372,Comedy / Drama,https://www.boxofficemojo.com/movies/?id=magicmike2.htm
373,Comedy,https://www.boxofficemojo.com/movies/?id=kevinhart15.htm
