,MPAA Rating,URL
338,PG-13,https://www.boxofficemojo.com/movies/?id=womaningold.htm
339,R,https://www.boxofficemojo.com/movies/?id=cybernatural.htm
340,PG-13,https://www.boxofficemojo.com/movies/?id=papertowns.htm
341,R,https://www.boxofficemojo.com/movies/?id=crimsonpeak.htm
342,PG-13,https://www.boxofficemojo.com/movies/?id=pointbreak2015.htm
343,PG-13,https://www.boxofficemojo.com/movies/?id=lastwitchhunter.htm
344,PG-13,https://www.boxofficemojo.com/movies/?id=rickiandtheflash.htm
345,R,https://www.boxofficemojo.com/movies/?id=runallnight.htm
346,PG-13,https://www.boxofficemojo.com/movies/?id=lazarus.htm
347,PG-13,https://www.boxofficemojo.com/movies/?id=heartofthesea.htm
348,R,https://www.boxofficemojo.com/movies/?id=hitman47.htm
349,PG-13,https://www.boxofficemojo.com/movies/?id=blackorwhite.htm
350,PG-13,https://www.boxofficemojo.com/movies/?id=jurassicpark4.htm
351,PG,https://www.boxofficemojo.com/movies/?id=pixar2014.htm
352,PG,https://www.boxofficemojo.com/movies/?id=minions.htm
353,PG-13,https://www.boxofficemojo.com/movies/?id=scott2016.htm
354,PG-13,https://www.boxofficemojo.com/movies/?id=bond24.htm
355,PG-13,https://www.boxofficemojo.com/movies/?id=pitchperfect2.htm
356,PG-13,https://www.boxofficemojo.com/movies/?id=antman.htm
357,PG,https://www.boxofficemojo.com/movies/?id=hoteltransylvania2.htm
358,PG,https://www.boxofficemojo.com/movies/?id=spongebob2.htm
359,PG-13,https://www.boxofficemojo.com/movies/?id=sanandreas.htm
360,PG-13,https://www.boxofficemojo.com/movies/?id=daddyshome.htm
361,G,https://www.boxofficemojo.com/movies/?id=peanuts2015.htm
362,PG,https://www.boxofficemojo.com/movies/?id=pixar2013.htm
363,R,https://www.boxofficemojo.com/movies/?id=trainwreck15.htm
364,PG,https://www.boxofficemojo.com/movies/?id=1952.htm
365,PG-13,https://www.boxofficemojo.com/movies/?id=terminator2015.htm
366,R,https://www.boxofficemojo.com/movies/?id=nest.htm
367,PG-13,https://www.boxofficemojo.com/movies/?id=mazerunner2.htm
368,PG,https://www.boxofficemojo.com/movies/?id=goosebumps.htm
369,PG,https://www.boxofficemojo.com/movies/?id=paddington.htm
370,PG-13,https://www.boxofficemojo.com/movies/?id=coldwar2015.htm
371,R,https://www.boxofficemojo.com/movies/?id=bigshort.htm
372,R,https://www.boxofficemojo.com/movies/?id=magicmike2.htm
373,R,https://www.boxofficemojo.com/movies/?id=kevinhart15.htm
374,R,https://www.boxofficemojo.com/movies/?id=newline15.htm
375,PG-13,https://www.boxofficemojo.com/movies/?id=joy.htm
376,R,https://www.boxofficemojo.com/movies/?id=thehatefuleight.htm
377,R,https://www.boxofficemojo.com/movies/?id=southpaw2015.htm
378,PG-13,https://www.boxofficemojo.com/movies/?id=poltergeist2015.htm
379,R,https://www.boxofficemojo.com/movies/?id=sicario.htm
380,R,https://www.boxofficemojo.com/movies/?id=spotlight.htm
381,R,https://www.boxofficemojo.com/movies/?id=blumhousejuly2015.htm
382,R,https://www.boxofficemojo.com/movies/?id=xmas2015.htm
383,PG,https://www.boxofficemojo.com/movies/?id=max2015.htm
384,PG-13,https://www.boxofficemojo.com/movies/?id=brooklyn.htm
385,R,https://www.boxofficemojo.com/movies/?id=boynextdoor.htm
386,PG-13,https://www.boxofficemojo.com/movies/?id=witherspoonvergara.htm
387,PG-13,https://www.boxofficemojo.com/movies/?id=duff.htm
388,PG,https://www.boxofficemojo.com/movies/?id=bestexotic2.htm
389,R,https://www.boxofficemojo.com/movies/?id=entourage.htm
390,R,https://www.boxofficemojo.com/movies/?id=chappie.htm
391,R,https://www.boxofficemojo.com/movies/?id=walkinthewoods.htm
392,R,https://www.boxofficemojo.com/movies/?id=sinister2.htm
393,R,https://www.boxofficemojo.com/movies/?id=coup.htm
394,PG-13,https://www.boxofficemojo.com/movies/?id=womaninblack2.htm
395,PG-13,https://www.boxofficemojo.com/movies/?id=lovethecoopers.htm
396,R,https://www.boxofficemojo.com/movies/?id=exmachina.htm
