,Genres,URL
276,"['Friday to Saturday Drops on Opening Weekends', 'Sunday Share of Opening Weekends']",https://www.boxofficemojo.com/movies/?id=whyhim.htm
277,['Series: Jack Reacher'],https://www.boxofficemojo.com/movies/?id=jackreacher2.htm
278,[],https://www.boxofficemojo.com/movies/?id=mebeforeyou.htm
279,[],https://www.boxofficemojo.com/movies/?id=universalcomedy2016.htm
280,[],https://www.boxofficemojo.com/movies/?id=officechristmasparty.htm
281,['Series: Barbershop'],https://www.boxofficemojo.com/movies/?id=barbershop3.htm
282,['Nominated for Six Oscars.'],https://www.boxofficemojo.com/movies/?id=lion.htm
283,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=kuboandthetwostrings.htm
284,[],https://www.boxofficemojo.com/movies/?id=warcraft.htm
285,[],https://www.boxofficemojo.com/movies/?id=mikeanddave.htm
286,[],https://www.boxofficemojo.com/movies/?id=ameyerschristmas.htm
287,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=pittcotillard.htm
288,[],https://www.boxofficemojo.com/movies/?id=risen.htm
289,[],https://www.boxofficemojo.com/movies/?id=boy2016.htm
290,[],https://www.boxofficemojo.com/movies/?id=blumhouse3.htm
291,[],https://www.boxofficemojo.com/movies/?id=inferno2015.htm
292,[],https://www.boxofficemojo.com/movies/?id=patriotsday.htm
293,[],https://www.boxofficemojo.com/movies/?id=collateralbeauty.htm
294,[],https://www.boxofficemojo.com/movies/?id=whentheboughbreaks.htm
295,"['Nominated for Eight Oscars, Including Three Wins.']",https://www.boxofficemojo.com/movies/?id=moonlight2016.htm
296,['Nominated for Two Oscars.'],https://www.boxofficemojo.com/movies/?id=florencefosterjenkins.htm
297,[],https://www.boxofficemojo.com/movies/?id=forest.htm
298,"['Sundance 2015', 'Witch']",https://www.boxofficemojo.com/movies/?id=thewitch.htm
299,['Stand-Up Comedy Concert'],https://www.boxofficemojo.com/movies/?id=kevinhart2016.htm
300,['Nominated for Five Oscars.'],https://www.boxofficemojo.com/movies/?id=starwars7.htm
301,"['Comic Book Adaptation', 'Cyborg / Android / Robot', 'Superhero']",https://www.boxofficemojo.com/movies/?id=avengers2.htm
302,['Car Racing'],https://www.boxofficemojo.com/movies/?id=fast7.htm
303,"['Action Heroine', 'Post-Apocalypse', 'Sci-Fi - Based on Book']",https://www.boxofficemojo.com/movies/?id=hungergames4.htm
304,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=cinderella2015.htm
305,"['Spy', 'TV Adaptation (Live Action)']",https://www.boxofficemojo.com/movies/?id=mi5.htm
306,"['Nominated for Twelve Oscars, Including Three Wins.']",https://www.boxofficemojo.com/movies/?id=revenant.htm
307,['Animation - Sci-Fi'],https://www.boxofficemojo.com/movies/?id=happysmekday.htm
308,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=fiftyshadesofgrey.htm
309,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=straightouttacompton.htm
310,"['Nominated for Ten Oscars, Including Six Wins.']",https://www.boxofficemojo.com/movies/?id=furyroad.htm
311,[],https://www.boxofficemojo.com/movies/?id=insurgent.htm
312,[],https://www.boxofficemojo.com/movies/?id=secretservice.htm
313,['Comedy - Spy'],https://www.boxofficemojo.com/movies/?id=susancooper.htm
314,['Nominated for One Oscar.'],https://www.boxofficemojo.com/movies/?id=creed.htm
315,"[""Showdown: Hart's Hits""]",https://www.boxofficemojo.com/movies/?id=gethard.htm
316,[],https://www.boxofficemojo.com/movies/?id=taken3.htm
317,['Comedy - Road Trip'],https://www.boxofficemojo.com/movies/?id=alvin4.htm
318,[],https://www.boxofficemojo.com/movies/?id=ted2.htm
319,[],https://www.boxofficemojo.com/movies/?id=pixels.htm
320,['Showdown: 12 Years of Nancy Meyers'],https://www.boxofficemojo.com/movies/?id=intern.htm
321,"['Comedy - Bumbling', 'Travelogue - Las Vegas']",https://www.boxofficemojo.com/movies/?id=paulblart2.htm
322,['Christian'],https://www.boxofficemojo.com/movies/?id=warroom2015.htm
323,['Found Footage'],https://www.boxofficemojo.com/movies/?id=blumhouse2015.htm
324,"['Travelogue - Boston', 'True Crime']",https://www.boxofficemojo.com/movies/?id=whiteybulger15.htm
325,"[""Showdown: 'The Perfect Guy' Meets 'No Good Deed'""]",https://www.boxofficemojo.com/movies/?id=perfectguy.htm
326,[],https://www.boxofficemojo.com/movies/?id=fantasticfour15.htm
327,['Con Artist / Hustler'],https://www.boxofficemojo.com/movies/?id=focus2015.htm
328,[],https://www.boxofficemojo.com/movies/?id=insidiouschapter3.htm
329,[],https://www.boxofficemojo.com/movies/?id=jupiterascending.htm
330,[],https://www.boxofficemojo.com/movies/?id=uncle.htm
331,[],https://www.boxofficemojo.com/movies/?id=mcfarland.htm
332,[],https://www.boxofficemojo.com/movies/?id=everest2015.htm
333,[],https://www.boxofficemojo.com/movies/?id=krampus.htm
334,[],https://www.boxofficemojo.com/movies/?id=ageofadaline.htm
335,[],https://www.boxofficemojo.com/movies/?id=thelongestride.htm
336,[],https://www.boxofficemojo.com/movies/?id=pan.htm
337,[],https://www.boxofficemojo.com/movies/?id=concussion2015.htm
338,[],https://www.boxofficemojo.com/movies/?id=womaningold.htm
339,[],https://www.boxofficemojo.com/movies/?id=cybernatural.htm
340,[],https://www.boxofficemojo.com/movies/?id=papertowns.htm
341,[],https://www.boxofficemojo.com/movies/?id=crimsonpeak.htm
